label	occurrences	lines	activity	classification	disposition
II_cor2	2	355,1173	active	theorem-like	Source Corollary 2.11 occurs twice, statement and Appendix A restatement; formalized under the nonzero-coefficient local correction by Blueprint thm:cpgsv_equal_case_source; note: cpsv16_bnt_uniqueness_zero_coefficient.tex.
eq:II_auxcor	2	358,1176	active	equation	The line-358 occurrence inherits Corollary 2.11's status and the line-1176 occurrence inherits the same status as its Appendix A restatement: formalized under the nonzero-coefficient local correction by Blueprint thm:cpgsv_equal_case_source.
Sec:MPS	1	373	active	section	Organizational label for source Section 3; covered in Blueprint Chapters 26 and 13; no standalone formalization.
eq:equivalence-relation-RFP-pure	1	385	active	figure	Graphical display supporting the pure-state RFP development in Blueprint Chapter 26 or its parent-Hamiltonian consequences in Chapter 13; it is notation or an internal proof step, so no standalone formalization is warranted.
RG	1	391	active	equation	Displayed identity supporting the pure-state RFP development in Blueprint Chapter 26 or its parent-Hamiltonian consequences in Chapter 13; it is notation or an internal proof step, so no standalone formalization is warranted.
thm:renormalization-flow	1	398	active	theorem-like	Source Theorem 3.1; mapped to the flow-limit theorem in Blueprint Chapter 26 and MPSTensor.appearsAsRenormalizationFlowLimit_iff_hasPhysicalBlockingIsometry; the malformed printed indices are documented in cpsv16_renormalization_flow_index_typo.tex.
AA=A	1	401	active	equation	Inherits Theorem 3.1's complete status with the documented correction to the malformed source blocking indices. This is the theorem's blocking-isometry equation, covered by Blueprint node thm:renormalization_flow, not an independent target.
defRFP	1	421	active	definition	Source Definition 3.2; mapped to Blueprint fixed-point/isometry definitions in Chapter 26.
ZCL	1	441	active	equation	Displayed identity supporting the pure-state RFP development in Blueprint Chapter 26 or its parent-Hamiltonian consequences in Chapter 13; it is notation or an internal proof step, so no standalone formalization is warranted.
Ex:ZCL	1	453	active	example	Source Example 3.4 is complete in Blueprint Chapter 15 and TNLean/MPS/RFP/CPSVCIDNotRFPExample.lean. The nodes def:cpsv16_example_34_tensor, thm:cpsv16_example_34_mpv, thm:cpsv16_example_34_cid, and thm:cpsv16_example_34_not_rfp link the exact printed tensor to MPSTensor.cpsvExample34Tensor, MPSTensor.cpsvExample34_mpv, MPSTensor.cpsvExample34_isPhysicalCID, MPSTensor.cpsvExample34_not_isTransferIdempotent, and MPSTensor.cpsvExample34_not_hasPhysicalBlockingIsometry.
DefLO	1	469	active	definition	Source Definition 3.5; mapped to Blueprint def:is_bnt_locally_orthogonal.
Corr	1	492	active	equation	Displayed identity supporting the pure-state RFP development in Blueprint Chapter 26 or its parent-Hamiltonian consequences in Chapter 13; it is notation or an internal proof step, so no standalone formalization is warranted.
TheoremZCLPure	1	501	active	theorem-like	Source Theorem 3.8; literal source status is Blueprint thm:cpsv_theorem_zcl_pure_status; corrected positive-gap and multiplicity-one results are Lean-formalized; gaps: cpsv16_pure_zcl_raw_weight_counterexample.tex and cpsv16_pure_zcl_adjacent_gap_cid_scope.tex.
eq:parent	1	517	active	equation	Displayed identity supporting the pure-state RFP development in Blueprint Chapter 26 or its parent-Hamiltonian consequences in Chapter 13; it is notation or an internal proof step, so no standalone formalization is warranted.
thm:main-MPS	1	534	active	theorem-like	Source Theorem 3.10; literal source status is recorded, together with Theorem 3.8, in Blueprint thm:cpsv_theorem_zcl_pure_status; corrected representative-level implications are Lean-formalized, but the printed three-way equivalence is refuted by the recorded raw-weight and adjacent-gap examples.
thm:charact-MPS	1	543	active	theorem-like	Source Theorem 3.11; literal source status is Blueprint thm:cpsv_charact_mps_status; corrected one-copy/direct-sum structural results are Lean-formalized; issue #2598 and cpsv16_rfp_isometry_scope.tex record the missing repeated-copy routing.
III_CFI_RFP	1	546	active	equation	Inherits Theorem 3.11's not-ready status and repeated-copy physical-routing boundary: the displayed shared isometry has no copy index and is false under the literal reading. Blueprint node thm:cpsv_charact_mps_status records this boundary.
eq:III_isometry	1	551	active	equation	Inherits Theorem 3.11's not-ready status and repeated-copy physical-routing boundary: the displayed shared isometry has no copy index and is false under the literal reading. Blueprint node thm:cpsv_charact_mps_status records this boundary.
eq:III_MPSRFP	1	566	active	equation	Displayed identity supporting the pure-state RFP development in Blueprint Chapter 26 or its parent-Hamiltonian consequences in Chapter 13; it is notation or an internal proof step, so no standalone formalization is warranted.
eq:basic-vectors-RFP-pure	1	570	active	equation	Displayed identity supporting the pure-state RFP development in Blueprint Chapter 26 or its parent-Hamiltonian consequences in Chapter 13; it is notation or an internal proof step, so no standalone formalization is warranted.
eq:III_varphi	1	575	active	equation	Displayed identity supporting the pure-state RFP development in Blueprint Chapter 26 or its parent-Hamiltonian consequences in Chapter 13; it is notation or an internal proof step, so no standalone formalization is warranted.
III_cor3	1	584	active	theorem-like	Source Corollary 3.12; formalized under the nonzero-coefficient local correction by Blueprint thm:cpsv_weight_norm_one_and_block_rfp and thm:cpsv_phase_class_residual_isometries; square-root diagonal gap: cpsv16_rfp_isometry_scope.tex.
ZCLandSALpure	1	607	active	theorem-like	Source Proposition 3.14; mapped to the pure-RFP-implies-SAL Blueprint result and MPSTensor.isSAL_of_isTransferIdempotent.
Sec:mixed-states	1	620	active	section	Organizational label for source Section 4; covered in Blueprint Chapters 20 and 21; no standalone formalization.
eq:III_MPDOform	1	625	active	figure	Graphical display supporting the mixed-state definitions and RFP development in Blueprint Chapters 20--21; it is notation or an internal proof step, so no standalone formalization is warranted.
eq:Smap	1	647	active	equation	Displayed identity supporting the mixed-state definitions and RFP development in Blueprint Chapters 20--21; it is notation or an internal proof step, so no standalone formalization is warranted.
eq:Tmap	1	652	active	equation	Displayed identity supporting the mixed-state definitions and RFP development in Blueprint Chapters 20--21; it is notation or an internal proof step, so no standalone formalization is warranted.
RFPMixedTS	1	658	active	definition	Source Definition 4.1; mapped to Blueprint def:is_rfp_via_ts and MPOTensor.IsRFPViaTS.
TandSforsimple	1	664	active	figure	Graphical display supporting the mixed-state definitions and RFP development in Blueprint Chapters 20--21; it is notation or an internal proof step, so no standalone formalization is warranted.
M-pure-case	1	671	active	figure	Graphical display supporting the mixed-state definitions and RFP development in Blueprint Chapters 20--21; it is notation or an internal proof step, so no standalone formalization is warranted.
Def-equiv-pure	1	678	active	figure	Graphical display supporting the mixed-state definitions and RFP development in Blueprint Chapters 20--21; it is notation or an internal proof step, so no standalone formalization is warranted.
T-and-S-mixed-equiv-pure	1	685	active	figure	Graphical display supporting the mixed-state definitions and RFP development in Blueprint Chapters 20--21; it is notation or an internal proof step, so no standalone formalization is warranted.
Section:Boundary	1	694	active	section	Organizational label for the boundary-theory interlude; retained as source context, outside the present one-dimensional MPO formalization.
PEPS-single tensor	1	697	active	figure	Graphical display supporting the mixed-state definitions and RFP development in Blueprint Chapters 20--21; it is notation or an internal proof step, so no standalone formalization is warranted.
PEPS-square-lattice	1	701	active	figure	Graphical display supporting the mixed-state definitions and RFP development in Blueprint Chapters 20--21; it is notation or an internal proof step, so no standalone formalization is warranted.
PEPS-transfer-operator	1	710	active	figure	Graphical display supporting the mixed-state definitions and RFP development in Blueprint Chapters 20--21; it is notation or an internal proof step, so no standalone formalization is warranted.
PEPS-RFP	1	717	active	figure	Graphical display supporting the mixed-state definitions and RFP development in Blueprint Chapters 20--21; it is notation or an internal proof step, so no standalone formalization is warranted.
DefinitionZCL	1	736	active	definition	Source Definition 4.2; mapped only to Blueprint def:mpo_physical_trace_idempotence and MPOTensor.IsPhysicalTraceIdempotent. The separate MPOTensor.IsSourceZCL predicate is the broader nonzero scale-invariant relation.
Psipuri	1	746	active	figure	The one-site purification presentation used by Source Definition 4.3; mapped to Blueprint def:mpdo_is_prfp and MPOTensor.IsPRFP.
eq:MPDO-Puri-1	1	751	active	equation	The positive-length global interpretation of Psipuri; mapped to Blueprint def:mpdo_global_purification_equation, MPOTensor.HasGlobalPurificationEquation, and the consequence MPOTensor.IsPRFP.hasPurificationRFPWitness.
def:Puri-RFP	1	758	active	definition	Source Definition 4.3 under the intended one-site presentation introduced at Psipuri; mapped to Blueprint def:mpdo_is_prfp and MPOTensor.IsPRFP. The global equation eq:MPDO-Puri-1 is a proved consequence via MPOTensor.IsPRFP.hasPurificationRFPWitness.
PuriRFP	1	766	active	equation	The repeated-copy density formula in clause (iii) of Source Theorem 4.4; mapped to the not-ready Blueprint node thm:cpsv_theorem44_printed_status. Its equivalence with the one-site PRFP and physical-trace-idempotence conditions remains open.
PuriRFP-BNT	1	770	active	equation	The component formula defining the repeated-copy density terms in clause (iii) of Source Theorem 4.4; mapped to the not-ready Blueprint node thm:cpsv_theorem44_printed_status and the same open repeated-copy obligation.
MixedMutual	1	790	active	section	Organizational label for mutual information and SAL; covered in Blueprint Chapters 19 and 21; no standalone formalization.
PropILILp1	1	802	active	theorem-like	Source Proposition 4.5; the printed unrestricted limit clause is an unfaithful statement and remains not ready at Blueprint thm:cpsv_prop45_printed_status; the formerly unlinked exact refutation is now Blueprint thm:cpsv_prop45_limit_counterexample and Lean MPOTensor.ThermodynamicLimitCounterexample.proposition45_limit_counterexample; monotonicity and finite-chain bounds remain separate proved statements; aperiodicity or convergence is a genuine boundary condition absent from the source; resolved gap: cpgsv17_mpdo_mutual_information_bound.tex.
def:area-law	1	811	active	definition	Source Definition 4.6; mapped to Blueprint def:is_sal and MPOTensor.IsSAL.
defrhoNComm	1	830	active	definition	Source Definition 4.8; mapped to Blueprint GSNNCH data and commuting-form definitions in Chapter 21.
rhoNComm	1	833	active	equation	Displayed identity supporting the mixed-state definitions and RFP development in Blueprint Chapters 20--21; it is notation or an internal proof step, so no standalone formalization is warranted.
rhoNCommv2	1	844	active	equation	Displayed identity supporting the mixed-state definitions and RFP development in Blueprint Chapters 20--21; it is notation or an internal proof step, so no standalone formalization is warranted.
thm:main-simple	1	851	active	theorem-like	Source Theorem 4.9; literal status is Blueprint thm:cpsv_theorem49_printed_status. The exact capstone thm:mpdo_theorem49_iv_to_v_counterexample refutes (iv)=>(v): raw copy weights 1 and 1/2 have explicit component witnesses for all standing hypotheses, condition (iv), and blocked-tensor MPDO positivity, but the two-site block fails Definition 4.1. The preserved status remark and not-ready node instead record the viable source (ii)=>(iv) missing factorization and (ii)=>(v) projector-controlled assembly after ZCL-derived common-weight absorption.
K=MM	1	854	active	figure	Inherits Theorem 4.9's partial-and-partly-refuted status at the two-site blocking definition boundary. This figure defines M as the two-site blocking of K before the numbered conditions; it is not a clause of condition (i) and is not an independent theorem target. Blueprint thm:cpsv_theorem49_printed_status records the full chain.
KxKy=0	1	866	active	figure	Inherits Theorem 4.9's partial-and-partly-refuted status at the raw repeated-copy-weight boundary. This condition-(iv) clause is explicitly satisfied by the exact repeated-copy counterexample, yet conclusion (v) fails because condition (iv) does not constrain unequal raw copy weights. It remains a valid local equation rather than an independent theorem.
UkU=rl	1	872	active	figure	Inherits Theorem 4.9's partial-and-partly-refuted status at the raw repeated-copy-weight boundary. This condition-(iv) factorization clause is explicitly satisfied by the scalar repeated-copy counterexample, yet conclusion (v) fails because raw copy weights are unconstrained. The one-factorization channel theorem remains only a conditional helper.
etakhetc	1	877	active	figure	Inherits Theorem 4.9's partial-and-partly-refuted status at the raw repeated-copy-weight boundary. This condition-(iv) neighboring-operator positivity clause is explicitly satisfied by the scalar repeated-copy counterexample, yet conclusion (v) fails because raw copy weights are unconstrained.
tralktrrk	1	882	active	equation	Inherits Theorem 4.9's partial-and-partly-refuted status at the raw repeated-copy-weight boundary. This condition-(iv) rank-one trace clause is explicitly satisfied by the scalar repeated-copy counterexample, yet conclusion (v) fails because raw copy weights are unconstrained.
PsiPhi	1	887	active	equation	Inherits Theorem 4.9's partial-and-partly-refuted status at the raw repeated-copy-weight boundary. This condition-(iv) normalization clause is explicitly satisfied by the scalar repeated-copy counterexample, yet conclusion (v) fails because raw copy weights are unconstrained.
ExZCLnoSAL	1	898	active	example	Complete for the corrected fixed-p=1/4 witness under issue #6301. The printed repeated-left channel is corrected to a left-right flip. CPSVExample410Operator proves that the corrected tensor is an MPDO with source ZCL, CPSVExample410Spectrum proves its full one- through four-site operator spectra, and CPSVExample410Entropy derives the exact tensor block entropies, the positive mutual-information defect, and IsSourceZCL together with not IsSAL. The spectra and exact entropy and linking calculations are project-derived consequences of the corrected reading, not formulas printed in CPSV16. No universal statement in p is claimed, and the printed exception list also misses p=1.
ExSALnoZCL	1	908	active	example	Source Example 4.11 is reconciled in docs/paper-gaps/cpsv16_examples_4_10_4_11_entropy.tex. The literal finite periodic family fails the printed SAL clause, while CPSVExample411SourceZCL proves that the effective and ambient physical-trace transfers are nonzero and fail the literal Definition 4.2 idempotence diagram, as well as its scale-invariant repair; no legacy doubled-index ZCL or thermodynamic claim is made.
Prop:IV.12	1	945	active	theorem-like	Source Proposition 4.13; mapped to the vertical canonical-form Blueprint results and MPOTensor.verticalCF_of_cpsvCanonicalForm; complete with the rectangular coisometry orientation stated explicitly.
UMU	1	948	active	equation	Inherits Proposition 4.13's complete status with the rectangular-coisometry orientation: the source isometry satisfies UU†=I together with both exact vertical direct-sum identities. Blueprint node thm:vertical_cf_of_cpsv_canonical_form records the corrected literal theorem.
graphUMU	1	956	active	figure	Graphical display supporting the mixed-state definitions and RFP development in Blueprint Chapters 20--21; it is notation or an internal proof step, so no standalone formalization is warranted.
thm:IV.13	1	972	active	theorem-like	Source Theorem 4.14; literal status is Blueprint thm:cpsv_theorem414_printed_status; (i) iff (ii) and the corrected active-support fusion equivalence are Lean-formalized in thm:mpdo_cpsv_bnt_rfp_equivalence; the printed unrestricted fusion clause is not claimed.
eq:algebra	1	978	active	equation	Inherits Theorem 4.14's partial-as-printed status. The algebra characterization containing this clause is complete, while equivalence with the fusion clause is formalized only after the active-support and coisometry corrections recorded by Blueprint node thm:cpsv_theorem414_printed_status.
idempotent	1	982	active	equation	Inherits Theorem 4.14's partial-as-printed status. The algebra characterization containing this clause is complete, while equivalence with the fusion clause is formalized only after the active-support and coisometry corrections recorded by Blueprint node thm:cpsv_theorem414_printed_status.
Ualphabeta	1	988	active	equation	Inherits Theorem 4.14's partial-as-printed status and specifically its fusion-clause boundary: the formal equivalence uses the corrected active-support and coisometry interpretation, not the unrestricted displayed isometry. See Blueprint node thm:cpsv_theorem414_printed_status.
Projector-Q	1	1005	active	figure	Graphical display supporting the mixed-state definitions and RFP development in Blueprint Chapters 20--21; it is notation or an internal proof step, so no standalone formalization is warranted.
AppendixMPV	1	1054	active	section	Organizational label for Appendix A; its results are covered in Blueprint Chapters 10 and 11.
eq:II_TPLambda	1	1064	active	equation	Displayed identity supporting the Appendix A BNT and fundamental-theorem argument in Blueprint Chapters 10--11; it is notation or an internal proof step, so no standalone formalization is warranted.
TP	1	1066	active	equation	Displayed identity supporting the Appendix A BNT and fundamental-theorem argument in Blueprint Chapters 10--11; it is notation or an internal proof step, so no standalone formalization is warranted.
Lambda	1	1068	active	equation	Displayed identity supporting the Appendix A BNT and fundamental-theorem argument in Blueprint Chapters 10--11; it is notation or an internal proof step, so no standalone formalization is warranted.
eq:II_XAX	1	1074	active	figure	Graphical display supporting the Appendix A BNT and fundamental-theorem argument in Blueprint Chapters 10--11; it is notation or an internal proof step, so no standalone formalization is warranted.
equalMPS	1	1081	active	theorem-like	Source Lemma A.2; mapped to the normal-tensor overlap dichotomy in Blueprint Chapter 10 and MPSTensor.IsNormalTensor.overlap_dichotomy.
scprod	1	1086	active	equation	Inherits the complete status and normal-tensor hypothesis boundary of Appendix A's overlap lemma: normalized self-overlaps converge to one, and cross-overlap modulus converges to zero or one, with the latter case giving gauge-phase equivalence. This is covered by the mixed-transfer and overlap development in Blueprint Chapter 7.
rel	1	1096	active	equation	Inherits the complete status and normal-tensor hypothesis boundary of Appendix A's overlap lemma: normalized self-overlaps converge to one, and cross-overlap modulus converges to zero or one, with the latter case giving gauge-phase equivalence. This is covered by the mixed-transfer and overlap development in Blueprint Chapter 7.
eqV	1	1122	active	theorem-like	Source Corollary A.3; mapped to the normal-MPV phase alternative in Blueprint Chapter 10 and MPSTensor.IsNormalTensor.mpv_phase_alternative.
Lem1	1	1131	active	theorem-like	Source Corollary A.4; mapped to eventual linear independence of asymptotically orthogonal normal MPVs in Blueprint Chapter 10.
eq-Appendix:II:A=XAX	1	1139	active	equation	Inherits the status of the Appendix A restatement of Proposition 2.7: formalized under the nonzero-coefficient local correction by Blueprint thm:cpsv_bnt_characterization.
Lem:app_simple	1	1156	active	theorem-like	Source Lemma A.5; formalized under the nonzero-coefficient local correction by Blueprint thm:bounded_power_sum_multiset, applied to the nonzero coefficients of a canonical form; alternative routes: cpsv16_power_sum_alternative_route.tex.
eq:app_aux	1	1159	active	equation	Inherits Lemma A.5's status and its zero-entry boundary: formalized under the nonzero-coefficient local correction by Blueprint thm:bounded_power_sum_multiset, applied to nonzero entries.
thm:Fundamental-CFII	1	1197	active	theorem-like	Source Corollary A.6; formalized under the nonzero-coefficient local correction by Blueprint cor:sector_bnt_proportional_unitary_sector_match and cor:sector_bnt_equal_unitary_global_gauge; gaps: cpsv16_bnt_uniqueness_zero_coefficient.tex and cpsv16_global_vs_persector_unit_witness.tex.
AppendixPure	1	1203	active	section	Organizational label for Appendix B; its pure-state arguments are covered in Blueprint Chapters 26 and 13.
eq:appendix-CPM	1	1206	active	equation	Displayed identity supporting the Appendix B pure-state argument in Blueprint Chapters 26 and 13; it is notation or an internal proof step, so no standalone formalization is warranted.
eq:II_Etilde	1	1214	active	equation	Displayed identity supporting the Appendix B pure-state argument in Blueprint Chapters 26 and 13; it is notation or an internal proof step, so no standalone formalization is warranted.
EasEkk	1	1220	active	equation	Displayed identity supporting the Appendix B pure-state argument in Blueprint Chapters 26 and 13; it is notation or an internal proof step, so no standalone formalization is warranted.
Ekk	1	1225	active	equation	Displayed identity supporting the Appendix B pure-state argument in Blueprint Chapters 26 and 13; it is notation or an internal proof step, so no standalone formalization is warranted.
Lk	1	1238	active	equation	Displayed identity supporting the Appendix B pure-state argument in Blueprint Chapters 26 and 13; it is notation or an internal proof step, so no standalone formalization is warranted.
lem:charact-NT-pure-RFP	1	1274	active	theorem-like	Source Lemma B.1; mapped to the normal-tensor square-root/isometry characterization in Blueprint Chapter 26 and MPSTensor.IsNormalTensor.isTransferIdempotent_iff_isIsometryCanonicalForm.
eq_III_NT_RFP	1	1277	active	equation	Inherits the complete status and normal-tensor hypothesis boundary of Appendix B's RFP characterization, together with the documented trace-normalized square-root correction required by the source reference tensor. The corresponding normal-isometry characterization is formalized in Blueprint Chapter 26.
AppendixMixed	1	1313	active	section	Organizational label for Appendix C; its MPDO arguments are covered in Blueprint Chapter 21.
propsimple	1	1334	active	theorem-like	Source Proposition C.1; mapped to MPOTensor.physTraceTransfer_sq_of_isRFPViaTS for literal Definition 4.2 ZCL and MPOTensor.isSAL_of_isRFPViaTS_of_trace_ne_zero for SAL; complete at the explicit nonzero-trace density-family boundary. The scale-invariant conjunction is a broader corollary.
sigma3bka	1	1345	active	figure	Graphical display supporting the Appendix C simple-MPDO argument in Blueprint Chapter 21; it is notation or an internal proof step, so no standalone formalization is warranted.
Lsigma3	1	1352	active	theorem-like	Source Lemma C.2; mapped to the strong-subadditivity equality/Hayashi decomposition in Blueprint Chapters 19 and 21; complete and axiom-free.
sigma3	1	1355	active	equation	Inherits the complete status of Lemma Lsigma3: SAL yields the three-site Hayashi-Markov decomposition. Its boundary is the supported-sector normalization and the permitted filler states on zero-weight or complementary sectors recorded in the maintained audit.
DefQk	1	1366	active	definition	Source Definition C.3; mapped to the Hayashi middle-space sector projectors used in Blueprint Chapter 21.
iCFK	1	1378	active	figure	Graphical display supporting the Appendix C simple-MPDO argument in Blueprint Chapter 21; it is notation or an internal proof step, so no standalone formalization is warranted.
AppUkU=rl	1	1385	active	figure	Graphical display supporting the Appendix C simple-MPDO argument in Blueprint Chapter 21; it is notation or an internal proof step, so no standalone formalization is warranted.
Appetakhetc	1	1390	active	figure	Graphical display supporting the Appendix C simple-MPDO argument in Blueprint Chapter 21; it is notation or an internal proof step, so no standalone formalization is warranted.
Apptralktrrk	1	1395	active	equation	Displayed identity supporting the Appendix C simple-MPDO argument in Blueprint Chapter 21; it is notation or an internal proof step, so no standalone formalization is warranted.
AppPsiPhi	1	1400	active	equation	Displayed identity supporting the Appendix C simple-MPDO argument in Blueprint Chapter 21; it is notation or an internal proof step, so no standalone formalization is warranted.
propSN	1	1407	active	theorem-like	Source Lemma C.4; mapped to the positive physical-sector factorization with primitive active trace matrix in Blueprint Chapter 21.
Qketc	1	1421	active	equation	Inherits the complete status of Lemma propSN: SAL yields the positive physical-sector factorization with primitive active trace matrix. The active-sector restriction and zero-weight completion are part of the enclosing lemma's stated boundary.
formK	1	1436	active	figure	Inherits the complete status of Lemma propSN: SAL yields the positive physical-sector factorization with primitive active trace matrix. The active-sector restriction and zero-weight completion are part of the enclosing lemma's stated boundary.
etarl	1	1443	active	figure	Inherits the complete status of Lemma propSN: SAL yields the positive physical-sector factorization with primitive active trace matrix. The active-sector restriction and zero-weight completion are part of the enclosing lemma's stated boundary.
StochT	1	1454	active	equation	Inherits the complete status of Lemma propSN: SAL yields the positive physical-sector factorization with primitive active trace matrix. The active-sector restriction and zero-weight completion are part of the enclosing lemma's stated boundary.
P1KP2	1	1467	active	figure	Inherits the complete status of Lemma propSN: SAL yields the positive physical-sector factorization with primitive active trace matrix. The active-sector restriction and zero-weight completion are part of the enclosing lemma's stated boundary.
lkrk	1	1475	active	figure	Graphical display supporting the Appendix C simple-MPDO argument in Blueprint Chapter 21; it is notation or an internal proof step, so no standalone formalization is warranted.
Tkn	1	1480	active	equation	Displayed identity supporting the Appendix C simple-MPDO argument in Blueprint Chapter 21; it is notation or an internal proof step, so no standalone formalization is warranted.
SALZCL	1	1485	active	theorem-like	Source Lemma C.5; mapped to the normal Case-I rank-one trace-coefficient theorem in Blueprint Chapter 21; complete on that surface, not an all-sector Case-II theorem.
CorollarytoProp	1	1504	active	theorem-like	Source Corollary C.6; mapped to the normal Case-I physical-sector factorization and the proved virtual bond-dimension-one boundary specialization thm:mpdo_bond_one_physical_sector_factorization in Blueprint Chapter 21.
3to5	1	1511	active	theorem-like	Source Proposition C.7; mapped to the physical-sector coarse-graining/refinement and transported blocked-RFP theorems for one supplied whole-tensor factorization; zero-weight quotient and physical-coordinate transport fixes are documented. This is a conditional helper, not the refuted raw (iv)=>(v) implication. Its channels feed the viable (ii)=>(v) route after ZCL-derived common-weight absorption; projector-controlled outer-BNT assembly there is formalized in #6632.
3to5tcpm	1	1514	active	figure	Inherits Proposition 3to5's complete status and one-supplied-whole-tensor-factorization boundary: the structural data yield the two trace-preserving physical maps. It also inherits the documented zero-weight preparation completion. This conditional helper does not prove the refuted raw (iv)=>(v); the cyclic implication-label mismatch and the viable (ii)=>(v) assembly route are recorded separately.
3to4	1	1570	active	theorem-like	Source Proposition C.8; mapped to the commuting-product-form results in Blueprint Chapter 21.
expression	1	1573	active	equation	Inherits Proposition 3to4's complete status and SAL-hypothesis boundary: SAL gives the commuting nearest-neighbor product form. This display is a statement clause of that proposition, not a separate target.
sigmaNK2	1	1586	active	equation	Inherits Proposition 3to4's complete status and SAL-hypothesis boundary: SAL gives the commuting nearest-neighbor product form. This display is a proof clause of that proposition, not a separate target.
4to2	1	1598	active	theorem-like	Source Proposition C.9; mapped to the commuting-form-plus-ZCL implies SAL theorem in Blueprint Chapter 21.
eq:gibbs-sal	1	1608	active	equation	Inherits Proposition 4to2's complete status and source-ZCL boundary: the selected-coordinate Hayashi decompositions imply SAL, and source ZCL supplies nonzero bond dimension. No normality of the selected fixed tensor is assumed.
KBNTs	1	1630	active	figure	Graphical display supporting the Appendix C simple-MPDO argument in Blueprint Chapter 21; it is notation or an internal proof step, so no standalone formalization is warranted.
AppKxKy=0	1	1636	active	figure	Graphical display supporting the Appendix C simple-MPDO argument in Blueprint Chapter 21; it is notation or an internal proof step, so no standalone formalization is warranted.
ApprhoNComm	1	1641	active	equation	Displayed identity supporting the Appendix C simple-MPDO argument in Blueprint Chapter 21; it is notation or an internal proof step, so no standalone formalization is warranted.
lemmus	1	1648	active	theorem-like	Source Lemma C.10; mapped to MPOTensor.weight_copy_independent_of_isPhysicalTraceIdempotent in Blueprint Chapter 21. The IsSourceZCL theorem is a separate scale-invariant generalization.
CFK	1	1663	active	figure	Graphical display supporting the Appendix C simple-MPDO argument in Blueprint Chapter 21; it is notation or an internal proof step, so no standalone formalization is warranted.
biCFK	1	1668	active	figure	Graphical display supporting the Appendix C simple-MPDO argument in Blueprint Chapter 21; it is notation or an internal proof step, so no standalone formalization is warranted.
Kidentity	1	1673	active	figure	Graphical display supporting the Appendix C simple-MPDO argument in Blueprint Chapter 21; it is notation or an internal proof step, so no standalone formalization is warranted.
Pis	1	1683	active	equation	Inherits the complete status and SAL-hypothesis boundary of the Appendix C separating-projector lemma: SAL gives orthogonal physical supports for the BNT sectors. This displayed projector identity is a clause of that lemma.
